	Heit(m)	air(kg/m3)
634	634000.0	6.691e-14
635	635000.0	6.608000000000001e-14
636	636000.0	6.526e-14
637	637000.0	6.446e-14
638	638000.0	6.367e-14
639	639000.0	6.289e-14
640	640000.0	6.213e-14
641	641000.0	6.137e-14
642	642000.0	6.063e-14
643	643000.0	5.99e-14
644	644000.0	5.918e-14
645	645000.0	5.847e-14
646	646000.0	5.778e-14
647	647000.0	5.709e-14
648	648000.0	5.641e-14
649	649000.0	5.575000000000001e-14
650	650000.0	5.509e-14
651	651000.0	5.4440000000000006e-14
652	652000.0	5.381e-14
653	653000.0	5.318e-14
654	654000.0	5.256e-14
655	655000.0	5.196e-14
656	656000.0	5.1359999999999995e-14
657	657000.0	5.0769999999999995e-14
658	658000.0	5.019e-14
659	659000.0	4.961e-14
660	660000.0	4.9049999999999997e-14
661	661000.0	4.85e-14
662	662000.0	4.795e-14
663	663000.0	4.7410000000000003e-14
664	664000.0	4.688e-14
665	665000.0	4.6360000000000004e-14
666	666000.0	4.5840000000000003e-14
667	667000.0	4.534e-14
668	668000.0	4.484e-14
669	669000.0	4.4340000000000003e-14
670	670000.0	4.386e-14
671	671000.0	4.338e-14
672	672000.0	4.291e-14
673	673000.0	4.245e-14
674	674000.0	4.199e-14
675	675000.0	4.154e-14
676	676000.0	4.109e-14
677	677000.0	4.066e-14
678	678000.0	4.022e-14
679	679000.0	3.98e-14
680	680000.0	3.938e-14
681	681000.0	3.8970000000000003e-14
682	682000.0	3.8559999999999995e-14
683	683000.0	3.816e-14
684	684000.0	3.776e-14
685	685000.0	3.7369999999999996e-14
686	686000.0	3.6989999999999996e-14
687	687000.0	3.661e-14
688	688000.0	3.624e-14
689	689000.0	3.5869999999999996e-14
690	690000.0	3.5510000000000005e-14
691	691000.0	3.515e-14
692	692000.0	3.48e-14
693	693000.0	3.4449999999999995e-14
694	694000.0	3.411e-14
695	695000.0	3.377e-14
696	696000.0	3.344e-14
697	697000.0	3.311e-14
698	698000.0	3.279e-14
699	699000.0	3.247e-14
700	700000.0	3.215e-14
701	701000.0	3.184e-14
702	702000.0	3.153e-14
703	703000.0	3.1229999999999997e-14
704	704000.0	3.093e-14
705	705000.0	3.0639999999999996e-14
706	706000.0	3.0350000000000004e-14
707	707000.0	3.006e-14
708	708000.0	2.978e-14
709	709000.0	2.95e-14
710	710000.0	2.9230000000000005e-14
711	711000.0	2.896e-14
712	712000.0	2.8689999999999996e-14
713	713000.0	2.843e-14
714	714000.0	2.8169999999999998e-14
715	715000.0	2.791e-14
716	716000.0	2.766e-14
717	717000.0	2.741e-14
718	718000.0	2.716e-14
719	719000.0	2.6919999999999997e-14
720	720000.0	2.668e-14
721	721000.0	2.645e-14
722	722000.0	2.6210000000000003e-14
723	723000.0	2.598e-14
724	724000.0	2.575e-14
725	725000.0	2.553e-14
726	726000.0	2.5309999999999998e-14
727	727000.0	2.509e-14
728	728000.0	2.4870000000000002e-14
729	729000.0	2.466e-14
730	730000.0	2.445e-14
731	731000.0	2.424e-14
732	732000.0	2.404e-14
733	733000.0	2.384e-14
734	734000.0	2.364e-14
735	735000.0	2.344e-14
736	736000.0	2.324e-14
737	737000.0	2.305e-14
738	738000.0	2.286e-14
739	739000.0	2.267e-14
740	740000.0	2.249e-14
741	741000.0	2.231e-14
742	742000.0	2.213e-14
743	743000.0	2.195e-14
744	744000.0	2.177e-14
745	745000.0	2.1599999999999998e-14
746	746000.0	2.143e-14
747	747000.0	2.126e-14
748	748000.0	2.109e-14
749	749000.0	2.092e-14
750	750000.0	2.076e-14
751	751000.0	2.0600000000000002e-14
752	752000.0	2.044e-14
753	753000.0	2.028e-14
754	754000.0	2.013e-14
755	755000.0	1.9970000000000002e-14
756	756000.0	1.982e-14
757	757000.0	1.967e-14
758	758000.0	1.9520000000000002e-14
759	759000.0	1.938e-14
760	760000.0	1.923e-14
761	761000.0	1.909e-14
762	762000.0	1.8949999999999998e-14
763	763000.0	1.881e-14
764	764000.0	1.867e-14
765	765000.0	1.8529999999999998e-14
766	766000.0	1.84e-14
767	767000.0	1.826e-14
768	768000.0	1.813e-14
769	769000.0	1.8e-14
770	770000.0	1.787e-14
771	771000.0	1.774e-14
772	772000.0	1.762e-14
773	773000.0	1.749e-14
774	774000.0	1.737e-14
775	775000.0	1.725e-14
776	776000.0	1.7130000000000002e-14
777	777000.0	1.701e-14
778	778000.0	1.6889999999999998e-14
779	779000.0	1.677e-14
780	780000.0	1.666e-14
781	781000.0	1.654e-14
782	782000.0	1.643e-14
783	783000.0	1.632e-14
784	784000.0	1.6209999999999998e-14
785	785000.0	1.61e-14
786	786000.0	1.599e-14
787	787000.0	1.5890000000000002e-14
788	788000.0	1.578e-14
789	789000.0	1.568e-14
790	790000.0	1.557e-14
